speed_m_s,eigenvalue_real_s_inv,eigenvalue_imag_s_inv
0.0,-5.530943717653896,0.0
0.0,-3.1316432479065552,0.0
0.0,3.131643247906553,0.0
0.0,5.530943717653891,0.0
0.1,-5.699357769726002,0.0
0.1,-3.122657300496902,0.0
0.1,3.1459064980546105,0.0
0.1,5.357069774444421,0.0
0.2,-5.863608627599327,0.0
0.2,-3.117646704705042,0.0
0.2,3.1672816598721214,0.0
0.2,5.1758960769844915,0.0
0.30000000000000004,-6.0246589175408936,0.0
0.30000000000000004,-3.1156330709729407,0.0
0.30000000000000004,3.1985549203113686,0.0
0.30000000000000004,4.98462067503084,0.0
0.4,-6.183252128080466,0.0
0.4,-3.115846635321897,0.0
0.4,3.244426890328363,0.0
0.4,4.778516682178493,0.0
0.5,-6.339980487410437,0.0
0.5,-3.1176583741627906,0.0
0.5,3.3142563386395483,0.0
0.5,4.548188534314309,0.0
0.6000000000000001,-6.495327344866443,0.0
0.6000000000000001,-3.120537606244078,0.0
0.6000000000000001,3.433828599580801,0.0
0.6000000000000001,4.267803565186473,0.0
0.7000000000000001,-6.649694837838327,0.0
0.7000000000000001,-3.1240242947686054,0.0
0.7000000000000001,3.7702237742699003,-0.1800208766268999
0.7000000000000001,3.7702237742699003,0.1800208766268999
0.8,-6.803422626145295,0.0
0.8,-3.1277102604780866,0.0
0.8,3.689411252416191,-0.48850285118390924
0.8,3.689411252416191,0.48850285118390924
0.9,-6.956800975988989,0.0
0.9,-3.1312260149000632,0.0
0.9,3.6083389056870905,-0.6672288633496866
0.9,3.6083389056870905,0.6672288633496866
1.0,-7.110080146374345,0.0
1.0,-3.134231250665788,0.0
1.0,3.5269617099006845,-0.8077402751993138
1.0,3.5269617099006845,0.8077402751993138
1.1,-7.263477286953292,0.0
1.1,-3.1364077682242906,0.0
1.1,3.4452291401074717,-0.9277471113115898
1.1,3.4452291401074717,0.9277471113115898
1.2000000000000002,-7.417181621311411,0.0
1.2000000000000002,-3.137454051658661,0.0
1.2000000000000002,3.363085050141782,-1.0345570824665453
1.2000000000000002,3.363085050141782,1.0345570824665453
1.3,-7.571358425653254,0.0
1.3,-3.1370809687490357,0.0
1.3,3.2804675119959534,-1.1320354285830052
1.3,3.2804675119959534,1.1320354285830052
1.4000000000000001,-7.726152147126468,0.0
1.4000000000000001,-3.135008234406144,0.0
1.4000000000000001,3.197308606699175,-1.222521996585056
1.4000000000000001,3.197308606699175,1.222521996585056
1.5,-7.881688898940593,0.0
1.5,-3.130961381798113,0.0
1.5,3.113534157440286,-1.3075609637397754
1.5,3.113534157440286,1.3075609637397754
1.6,-8.038078498419168,0.0
1.6,-3.1246690544489333,0.0
1.6,3.029063394643047,-1.3882350917062256
1.6,3.029063394643047,1.3882350917062256
1.7000000000000002,-8.195416165931308,0.0
1.7000000000000002,-3.1158604785375545,0.0
1.7000000000000002,2.943808541581486,-1.4653389637044274
1.7000000000000002,2.943808541581486,1.4653389637044274
1.8,-8.353783969282375,0.0
1.8,-3.104263005615296,0.0
1.8,2.8576743079339506,-1.5394772217715402
1.8,2.8576743079339506,1.5394772217715402
1.9000000000000001,-8.51325207464383,0.0
1.9000000000000001,-3.089599637077832,0.0
1.9000000000000001,2.7705572774840137,-1.6111243093901908
1.9000000000000001,2.7705572774840137,1.6111243093901908
2.0,-8.673879848317277,0.0
2.0,-3.0715864564151416,0.0
2.0,2.6823451751274563,-1.6806629659067502
2.0,2.6823451751274563,1.6806629659067502
2.1,-8.83571684151039,0.0
2.1,-3.049929906121134,0.0
2.1,2.5929159977150675,-1.7484103330254002
2.1,2.5929159977150675,1.7484103330254002
2.2,-8.998803681489642,0.0
2.2,-3.0243238555498224,0.0
2.2,2.502136993557097,-1.8146365533255167
2.2,2.502136993557097,1.8146365533255167
2.3000000000000003,-9.163172886042252,0.0
2.3000000000000003,-2.9944464166771327,0.0
2.3000000000000003,2.409863477535122,-1.879578722021098
2.3000000000000003,2.409863477535122,1.879578722021098
2.4000000000000004,-9.328849613484929,0.0
2.4000000000000004,-2.9599564804384273,0.0
2.4000000000000004,2.3159374742751675,-1.9434519786572813
2.4000000000000004,2.3159374742751675,1.9434519786572813
2.5,-9.495852357044189,0.0
2.5,-2.920489972919633,0.0
2.5,2.2201861934334617,-2.0064589381626696
2.5,2.2201861934334617,2.0064589381626696
2.6,-9.66419358997323,0.0
2.6,-2.8756558777939234,0.0
2.6,2.1224203634731955,-2.0687983430342136
2.6,2.1224203634731955,2.0687983430342136
2.7,-9.833880366020402,0.0
2.7,-2.825032155147074,0.0
2.7,2.022432491311415,-2.130673662476236
2.7,2.022432491311415,2.130673662476236
2.8000000000000003,-10.004914878643078,0.0
2.8000000000000003,-2.7681618345196712,0.0
2.8000000000000003,1.9199951884471163,-2.1923023151832997
2.8000000000000003,1.9199951884471163,2.1923023151832997
2.9000000000000004,-10.177294981530938,0.0
2.9000000000000004,-2.704549817764945,0.0
2.9000000000000004,1.8148598326517402,-2.253926221073864
2.9000000000000004,1.8148598326517402,2.253926221073864
3.0,-10.351014672459108,0.0
3.0,-2.633661372536668,0.0
3.0,1.706756056639751,-2.315824473843232
3.0,1.706756056639751,2.315824473843232
3.1,-10.526064542154604,0.0
3.1,-2.5549240569429283,0.0
3.1,1.5953929348286864,-2.378329043931715
3.1,1.5953929348286864,2.378329043931715
3.2,-10.702432189667595,0.0
3.2,-2.4677360904299785,0.0
3.2,1.4804633764667758,-2.4418445105035653
3.2,1.4804633764667758,2.4418445105035653
3.3000000000000003,-10.880102605645426,0.0
3.3000000000000003,-2.3714862653448927,0.0
3.3000000000000003,1.361654273051212,-2.506872737056772
3.3000000000000003,1.361654273051212,2.506872737056772
3.4000000000000004,-11.059058524877239,0.0
3.4000000000000004,-2.2655937200320926,0.0
3.4000000000000004,1.2386665611487757,-2.5740428196539207
3.4000000000000004,1.2386665611487757,2.5740428196539207
3.5,-11.239280749484589,0.0
3.5,-2.149580428756602,0.0
3.5,1.1112516289527674,-2.644144861993312
3.5,1.1112516289527674,2.644144861993312
3.6,-11.420748444159312,0.0
3.6,-2.0231943077220036,0.0
3.6,0.9792730169108932,-2.718161900079311
3.6,0.9792730169108932,2.718161900079311
3.7,-11.603439404881774,0.0
3.7,-1.8866026674823029,0.0
3.7,0.8428032782903383,-2.7972857814154906
3.7,0.8428032782903383,2.7972857814154906
3.8000000000000003,-11.787330302580544,0.0
3.8000000000000003,-1.7406641771017788,0.0
3.8000000000000003,0.702260083087527,-2.8828889167577136
3.8000000000000003,0.702260083087527,2.8828889167577136
3.9000000000000004,-11.972396903214355,0.0
3.9000000000000004,-1.5872437582281615,0.0
3.9000000000000004,0.5585637751056852,-2.9764090871217634
3.9000000000000004,0.5585637751056852,2.9764090871217634
4.0,-12.158614265764284,0.0
4.0,-1.4294442736132993,0.0
4.0,0.4132533152112747,-3.0791081860320353
4.0,0.4132533152112747,3.0791081860320353
4.1000000000000005,-12.345956919618606,0.0
